"date","Code","dataSource","currency","Price","quantity","Action","Fee","Note"
"20231113","bitcoin","COINGECKO","EUR","1E-05","2.2E-06","BUY","0","staking: Bitvavo Transaction ID: 5265e16f-a750-404c-b278-8fe98d479470"
"20231113","ethereum","COINGECKO","EUR","1E-05","0.0001963","BUY","0","staking: Bitvavo Transaction ID: 3169ab5c-ef4c-4002-86d3-c658115f5639"
"20231113","tron","COINGECKO","EUR","1E-05","0.027861","BUY","0","staking: Bitvavo Transaction ID: a99e0db6-b93e-44bb-b841-431b5e309b02"
"20231113","cardano","COINGECKO","EUR","1E-05","9E-05","BUY","0","staking: Bitvavo Transaction ID: cd063784-3835-416f-ab09-8e203e9b5678"
"20231113","dogecoin","COINGECKO","EUR","1E-05","0.00256316","BUY","0","staking: Bitvavo Transaction ID: 915b0f8e-6ee0-459e-a8b4-59d7ec0028d1"
"20231113","decentraland","COINGECKO","EUR","1E-05","0.00027158","BUY","0","staking: Bitvavo Transaction ID: 70e53c27-00af-4cb7-91cb-ce7d1a248604"
"20231113","stellar","COINGECKO","EUR","1E-05","0.0308991","BUY","0","staking: Bitvavo Transaction ID: d49bca2e-88fd-49ca-8083-ae1e1618780d"
"20231106","cardano","COINGECKO","EUR","1E-05","0.000115","BUY","0","staking: Bitvavo Transaction ID: a02cbf80-3720-471f-b405-6f8ba6ff8b65"
"20231106","bitcoin","COINGECKO","EUR","1E-05","5.33E-06","BUY","0","staking: Bitvavo Transaction ID: 2c4dd631-f1be-4238-a1cf-5fc616d433b0"
"20231106","ethereum","COINGECKO","EUR","1E-05","0.00019626","BUY","0","staking: Bitvavo Transaction ID: 597c4aa5-c544-43c5-a59f-8964cc87adec"
"20231106","tron","COINGECKO","EUR","1E-05","0.195006","BUY","0","staking: Bitvavo Transaction ID: af2656b3-149a-44c4-b13b-1543c5d54112"
"20231030","cardano","COINGECKO","EUR","1E-05","0.000115","BUY","0","staking: Bitvavo Transaction ID: a19ce40b-7dd8-4679-8f8f-c3b00bafb303"
"20231030","ethereum","COINGECKO","EUR","1E-05","0.00019623","BUY","0","staking: Bitvavo Transaction ID: ddcf2adc-8865-40a0-88f1-b3320a38106a"
"20231030","bitcoin","COINGECKO","EUR","1E-05","5.33E-06","BUY","0","staking: Bitvavo Transaction ID: eb2dc8c7-c2d9-4083-98f3-08ab5696b165"
"20231030","tron","COINGECKO","EUR","1E-05","0.194968","BUY","0","staking: Bitvavo Transaction ID: 184b819f-9d58-4f27-afd0-292c06bef426"
"20231023","bitcoin","COINGECKO","EUR","1E-05","5.33E-06","BUY","0","staking: Bitvavo Transaction ID: 5b7cf0fa-8fa7-475c-9976-5a810ff9114b"
