Timezone,Date,Time,Type,Currency,Amount,Price (EUR),EUR received / paid,Fee currency,Fee amount,Status,Transaction ID,Address
Europe/Amsterdam,2023-10-30,10:38:05,staking,ADA,0.000115,,,,,Distributed,a19ce40b-7dd8-4679-8f8f-c3b00bafb303,
Europe/Amsterdam,2023-10-30,10:38:05,staking,ETH,0.00019623,,,,,Distributed,ddcf2adc-8865-40a0-88f1-b3320a38106a,
Europe/Amsterdam,2023-10-30,10:38:00,staking,BTC,0.00000533,,,,,Distributed,eb2dc8c7-c2d9-4083-98f3-08ab5696b165,
Europe/Amsterdam,2023-10-30,10:36:51,staking,TRX,0.194968,,,,,Distributed,184b819f-9d58-4f27-afd0-292c06bef426,
Europe/Amsterdam,2023-10-23,11:19:34,staking,BTC,0.00000533,,,,,Distributed,5b7cf0fa-8fa7-475c-9976-5a810ff9114b,
Europe/Amsterdam,2023-10-23,11:19:33,staking,ADA,0.000115,,,,,Distributed,14433567-ca4c-43f2-9d39-225418359114,
Europe/Amsterdam,2023-10-23,11:19:33,staking,ETH,0.00019619,,,,,Distributed,ecc503ce-78db-4674-a672-e7f54deb9987,
Europe/Amsterdam,2023-10-23,11:19:11,staking,TRX,0.19493,,,,,Distributed,454abc1d-3e42-4d44-99ea-f56009189c27,
Europe/Amsterdam,2023-10-16,11:24:09,staking,BTC,0.00000533,,,,,Distributed,6301c054-0b74-48f3-8108-dad5cb0433f5,
Europe/Amsterdam,2023-10-16,11:23:39,staking,ADA,0.000115,,,,,Distributed,e3dc5aeb-b8f4-4997-a22f-2669edebe9a0,
Europe/Amsterdam,2023-10-16,11:23:39,staking,ETH,0.00019615,,,,,Distributed,5387387b-fc1c-44eb-b659-421dd584ac10,
Europe/Amsterdam,2023-10-16,11:23:38,staking,TRX,0.194892,,,,,Distributed,4ed261af-2744-4f0a-b7f9-955215043414,
Europe/Amsterdam,2023-10-09,11:49:46,staking,BTC,0.00000533,,,,,Distributed,96f22029-2c7f-4f81-a0f7-c44253237487,
Europe/Amsterdam,2023-10-09,11:47:12,staking,TRX,0.194853,,,,,Distributed,7be00180-b94b-4bff-9058-93a82120cb29,
Europe/Amsterdam,2023-10-09,11:46:42,staking,ADA,0.000115,,,,,Distributed,2238eb10-2306-44b8-a80f-af3f0c864fa9,
Europe/Amsterdam,2023-10-09,11:46:42,staking,ETH,0.00019611,,,,,Distributed,6f96263a-63b5-4d49-8942-e9bcc6453bc8,
Europe/Amsterdam,2023-10-02,12:04:21,staking,TRX,0.194815,,,,,Distributed,770815e3-bca1-4746-83ad-bcc99c000ae2,
Europe/Amsterdam,2023-10-02,12:04:10,staking,BTC,0.00000533,,,,,Distributed,3db13306-ee9c-4d46-b69d-b4f3decd729d,
Europe/Amsterdam,2023-10-02,12:02:31,staking,ADA,0.000115,,,,,Distributed,b65236c5-ad50-48ef-bd91-0861f62ad46f,
Europe/Amsterdam,2023-10-02,12:02:31,staking,ETH,0.00019608,,,,,Distributed,cf5c758e-5292-41a3-aa56-b8378809b86f,
Europe/Amsterdam,2023-09-25,11:58:48,staking,TRX,0.194777,,,,,Distributed,092581c1-6218-4775-9fab-77f944ff6ab4,
Europe/Amsterdam,2023-09-25,11:58:01,staking,ADA,0.000115,,,,,Distributed,e5b2841a-a1a0-40e8-b8cd-8af6d3b2bbf9,
Europe/Amsterdam,2023-09-25,11:58:01,staking,ETH,0.00019604,,,,,Distributed,0594b271-e47b-439f-ade8-fd3e77bea41a,
Europe/Amsterdam,2023-09-25,11:57:34,staking,BTC,0.00000533,,,,,Distributed,ff346c0b-e233-4b8e-b554-5e6edb6271fa,
Europe/Amsterdam,2023-09-18,12:04:43,staking,ADA,0.000115,,,,,Distributed,63364ec3-e385-458a-b5ea-7655274d477d,
Europe/Amsterdam,2023-09-18,12:04:43,staking,ETH,0.000196,,,,,Distributed,ec7d7682-96c0-4e92-a63b-f52dcfc52d59,
Europe/Amsterdam,2023-09-18,12:04:41,staking,BTC,0.00000533,,,,,Distributed,e744e1cf-c4ca-42dd-a84e-eab021439aa3,
Europe/Amsterdam,2023-09-18,12:04:41,staking,TRX,0.194738,,,,,Distributed,d581bdcd-3f84-4d49-85e1-2f8cfbcf2244,
Europe/Amsterdam,2023-09-11,19:14:28,staking,TRX,0.1947,,,,,Distributed,5a2cfdab-1870-4900-845b-c5c53a84e5e8,
Europe/Amsterdam,2023-09-11,19:14:27,staking,ADA,0.000114,,,,,Distributed,1065acee-1d4e-4bde-b02e-00793db3c6a0,
Europe/Amsterdam,2023-09-11,19:14:27,staking,BTC,0.0000061,,,,,Distributed,41c1ed29-8de9-4f98-8704-b139092d6d2d,
Europe/Amsterdam,2023-09-11,19:14:27,staking,ETH,0.00019596,,,,,Distributed,2235eda7-1d45-47fe-8da1-0c3395ed7aa6,
Europe/Amsterdam,2023-09-08,04:01:37,affiliate,EUR,0.03,,,,,Completed,4de33628-57ed-49d6-b49a-9a7d7c150855,
Europe/Amsterdam,2023-09-04,18:53:42,staking,ADA,0.000114,,,,,Distributed,0af10aa9-bb8c-46ef-a953-5e5ecb84d0b2,
Europe/Amsterdam,2023-09-04,18:53:42,staking,BTC,0.00000804,,,,,Distributed,8d3b7b99-df59-4a9c-9645-37caaa8fd813,
Europe/Amsterdam,2023-09-04,18:53:42,staking,ETH,0.00019592,,,,,Distributed,6e355e2d-999c-4029-bec6-13a9ee0d7f93,
Europe/Amsterdam,2023-09-04,18:53:42,staking,TRX,0.194662,,,,,Distributed,d4bcf2d5-4cac-4940-b798-7cb3c242064a,
Europe/Amsterdam,2023-08-28,14:43:12,staking,TRX,0.194624,,,,,Distributed,3d2f8deb-c28b-4561-9118-076d657b1430,
Europe/Amsterdam,2023-08-28,14:43:11,staking,ADA,0.000114,,,,,Distributed,3acebaca-dcdb-49e8-8bc6-b2a93422fbb4,
Europe/Amsterdam,2023-08-28,14:43:11,staking,BTC,0.00000804,,,,,Distributed,3a5dadd1-796c-4642-a7a8-99d32d083af2,
Europe/Amsterdam,2023-08-28,14:43:11,staking,ETH,0.00019589,,,,,Distributed,6c1bbf27-460d-4caf-b9a5-859c4811d21b,
Europe/Amsterdam,2023-08-21,19:36:04,staking,ADA,0.000114,,,,,Distributed,d1c41812-9da6-41fc-9a3f-5c97224a7062,
Europe/Amsterdam,2023-08-21,19:36:04,staking,BTC,0.00000804,,,,,Distributed,44d0c42e-93e3-46a8-b0e6-9c0c39dcda19,
Europe/Amsterdam,2023-08-21,19:36:04,staking,ETH,0.00019585,,,,,Distributed,48221e74-f73b-4de4-89bd-635c1c2b415f,
Europe/Amsterdam,2023-08-21,19:36:04,staking,TRX,0.194585,,,,,Distributed,3cb23052-e6ed-42be-92ea-6e3e77d8b50e,
Europe/Amsterdam,2023-08-14,13:31:14,staking,ADA,0.000114,,,,,Distributed,856f620f-3640-46e2-8d10-9b3a57e9a817,
Europe/Amsterdam,2023-08-14,13:31:14,staking,BTC,0.00000803,,,,,Distributed,37fbbfae-4f4b-4aeb-9c73-9476018b2843,
Europe/Amsterdam,2023-08-14,13:31:14,staking,ETH,0.00019581,,,,,Distributed,6e05aadc-c455-42a4-aa28-61759b7934f5,
Europe/Amsterdam,2023-08-14,13:31:14,staking,TRX,0.194547,,,,,Distributed,cead26a9-f672-4e50-9514-3ce476d13cfd,
Europe/Amsterdam,2023-08-07,15:25:56,staking,ADA,0.000114,,,,,Distributed,2d932ebf-8ee4-48c9-854c-06059c4a03a3,
Europe/Amsterdam,2023-08-07,15:25:56,staking,BTC,0.00000684,,,,,Distributed,f1935c12-156a-48fb-86eb-adfe344587de,
Europe/Amsterdam,2023-08-07,15:25:56,staking,ETH,0.00019577,,,,,Distributed,513ebda8-457b-4b87-a44d-58a20e66d5e2,
Europe/Amsterdam,2023-08-07,15:25:56,staking,TRX,0.194509,,,,,Distributed,c9eae3f3-cf4a-4a44-ac4a-b1f7d8edd2bf,
Europe/Amsterdam,2023-08-06,11:22:21,deposit,DOGE,156.00234658,,,,,Completed,3eee0470-4b4e-46d7-a439-d7f4e1254306,
Europe/Amsterdam,2023-08-06,11:01:29,deposit,BTC,0.00813635,,,,,Completed,b9c3fe5d-e869-471b-9fba-b8578505479c,
Europe/Amsterdam,2023-08-06,10:49:06,deposit,SHIB,1242937.93,,,,,Completed,029e419f-d185-495c-a7bc-5c5fbb230ba1,
Europe/Amsterdam,2023-08-06,10:28:23,deposit,XLM,1155.7216634,,,,,Completed,37c55348-0e06-4b38-927b-6183d56f1a41,
Europe/Amsterdam,2023-07-31,16:27:53,staking,BTC,0.00000684,,,,,Distributed,18ccc660-2a90-45ff-8083-c0cf1bc7e82e,
Europe/Amsterdam,2023-07-31,16:27:53,staking,ETH,0.00019574,,,,,Distributed,63fa3e55-0a63-4c0e-83ba-cbd135568035,
Europe/Amsterdam,2023-07-31,16:27:53,staking,TRX,0.194471,,,,,Distributed,1da472ef-2c39-4681-827d-c039d8f58d1f,
Europe/Amsterdam,2023-07-31,16:27:52,staking,ADA,0.000114,,,,,Distributed,5a488f1e-1d02-4cb4-9ae0-9a815e2a8f35,
Europe/Amsterdam,2023-07-24,21:25:45,staking,ADA,0.000114,,,,,Distributed,ba7fd35c-07aa-4956-8645-a105bc82bf24,
Europe/Amsterdam,2023-07-24,21:25:45,staking,BTC,0.00000683,,,,,Distributed,68d8d82f-3986-4dec-80f0-ba6a6b9d78f0,
Europe/Amsterdam,2023-07-24,21:25:45,staking,ETH,0.0001957,,,,,Distributed,fcf8962d-3190-40b3-90a9-bdc3bd8ffe9b,
Europe/Amsterdam,2023-07-24,21:25:45,staking,TRX,0.194432,,,,,Distributed,3fa543f9-b852-467f-9a0b-a1e8e7915d6f,
Europe/Amsterdam,2023-07-17,21:02:01,staking,BTC,0.00000683,,,,,Distributed,87c5fc14-47fe-4994-b58f-45a28f233e4a,
Europe/Amsterdam,2023-07-17,21:02:01,staking,ETH,0.00019566,,,,,Distributed,11839ed3-cb90-412f-ada4-7b73303ba3cc,
Europe/Amsterdam,2023-07-17,21:02:01,staking,TRX,0.194394,,,,,Distributed,6a59a068-4a10-4982-84e2-86bbee1ce05d,
Europe/Amsterdam,2023-07-17,21:02:00,staking,ADA,0.000114,,,,,Distributed,125d2507-3ee8-447c-9c5f-57ff188b95b8,
Europe/Amsterdam,2023-07-10,17:46:06,staking,ADA,0.000123,,,,,Distributed,937ef899-c507-4919-a246-48e014634445,
Europe/Amsterdam,2023-07-10,17:46:06,staking,BTC,0.00000683,,,,,Distributed,4f11a139-822e-4254-8945-a53f7526df87,
Europe/Amsterdam,2023-07-10,17:46:06,staking,ETH,0.00019562,,,,,Distributed,201fcc1e-b14a-4a79-83ac-b36246a31a2d,
Europe/Amsterdam,2023-07-10,17:46:06,staking,TRX,0.194356,,,,,Distributed,f3fb8a89-dbf5-4e87-81ac-8822c1e5fc74,
Europe/Amsterdam,2023-07-03,20:12:15,staking,TRX,0.194318,,,,,Distributed,4dd5e996-cbfe-429d-a632-68253280d35d,
Europe/Amsterdam,2023-07-03,20:12:14,staking,ADA,0.000145,,,,,Distributed,2fd3e479-8abc-49f8-99c5-aabe9b65159c,
Europe/Amsterdam,2023-07-03,20:12:14,staking,BTC,0.00000683,,,,,Distributed,57936cd5-744d-4159-a28a-ba70ff3ff65d,
Europe/Amsterdam,2023-07-03,20:12:14,staking,ETH,0.00019558,,,,,Distributed,14a509a2-dcf8-4cca-b668-9eabc58b99e9,
Europe/Amsterdam,2023-06-26,19:31:47,staking,ADA,0.000144,,,,,Distributed,46a7221d-0beb-46e0-8c7d-38c18a9e7af3,
Europe/Amsterdam,2023-06-26,19:31:47,staking,BTC,0.00000683,,,,,Distributed,644a8367-0dc9-4a21-82c0-277bc5161a7b,
Europe/Amsterdam,2023-06-26,19:31:47,staking,ETH,0.00019555,,,,,Distributed,59718d62-448d-4180-85ee-7d20ce699989,
Europe/Amsterdam,2023-06-26,19:31:47,staking,TRX,0.19428,,,,,Distributed,457a21bb-7407-4fb2-990e-70591a75f2d3,
Europe/Amsterdam,2023-06-19,22:32:27,staking,BTC,0.00000683,,,,,Distributed,154937bd-7995-4c12-a3cd-effcb468b95c,
Europe/Amsterdam,2023-06-19,22:32:27,staking,ETH,0.00019551,,,,,Distributed,fa725144-03da-46d3-8d6c-a2c26f842937,
Europe/Amsterdam,2023-06-19,22:32:27,staking,TRX,0.194241,,,,,Distributed,3e5e02ae-bb34-4219-9df4-ace8803b813c,
Europe/Amsterdam,2023-06-19,22:32:26,staking,ADA,0.000144,,,,,Distributed,492c3386-7647-458b-8403-dbc20205e563,
Europe/Amsterdam,2023-06-12,18:35:17,staking,ADA,0.000144,,,,,Distributed,18fa89ee-c5c1-4cfd-97ae-4fe01ff64a46,
Europe/Amsterdam,2023-06-12,18:35:17,staking,BTC,0.00000683,,,,,Distributed,63753f0f-5bdd-4b85-91a6-711916add5da,
Europe/Amsterdam,2023-06-12,18:35:17,staking,ETH,0.00019547,,,,,Distributed,b5b31fa8-9ac4-483e-aeb2-d8d63089816b,
Europe/Amsterdam,2023-06-12,18:35:17,staking,TRX,0.194203,,,,,Distributed,ba54a302-37e2-43c2-b42c-41272e078e39,
Europe/Amsterdam,2023-06-05,17:52:48,staking,ADA,0.000144,,,,,Distributed,9e26f1d9-1a4b-47b1-b8db-99beae219788,
Europe/Amsterdam,2023-06-05,17:52:48,staking,BTC,0.00000683,,,,,Distributed,905d1dbb-cfd8-48d8-8951-25da18cc4ac6,
Europe/Amsterdam,2023-06-05,17:52:48,staking,ETH,0.00019543,,,,,Distributed,e35d1cee-4305-4610-b435-dae54a76416c,
Europe/Amsterdam,2023-06-05,17:52:48,staking,TRX,0.194165,,,,,Distributed,62726b50-c12b-45eb-8c53-4e6979d783ba,
Europe/Amsterdam,2023-05-29,18:37:52,staking,ADA,0.000144,,,,,Distributed,8aef44d8-6733-491a-a8f7-9b61f0f16258,
Europe/Amsterdam,2023-05-29,18:37:52,staking,BTC,0.00000683,,,,,Distributed,1f4b4761-a6ec-4212-8d6a-cea4eafa11d7,
Europe/Amsterdam,2023-05-29,18:37:52,staking,ETH,0.0001954,,,,,Distributed,08106f16-aaee-420b-8850-11b1c7f30d20,
Europe/Amsterdam,2023-05-29,18:37:52,staking,TRX,0.194127,,,,,Distributed,3faf8aec-3481-47ec-99a5-2c0b1bf8dc94,
Europe/Amsterdam,2023-05-22,20:17:46,staking,ADA,0.000144,,,,,Distributed,0c8caf26-dc54-415e-95e4-4da0ba35dc6d,
Europe/Amsterdam,2023-05-22,20:17:46,staking,BTC,0.00000683,,,,,Distributed,d749a4e7-b7b3-4eb4-ad55-c1292aaa9773,
Europe/Amsterdam,2023-05-22,20:17:46,staking,ETH,0.00019536,,,,,Distributed,7ba98293-98f4-42a9-a499-5ea19485835c,
Europe/Amsterdam,2023-05-22,20:17:46,staking,TRX,0.194089,,,,,Distributed,407cb054-5cd6-49dd-93c3-4375be1ab18e,
Europe/Amsterdam,2023-05-15,18:01:14,staking,TRX,0.194051,,,,,Distributed,2b4d7d12-15c3-4c83-bb78-80b9a5252a4e,
Europe/Amsterdam,2023-05-15,18:01:13,staking,ADA,0.000144,,,,,Distributed,918030d8-5f44-436d-9b17-b547495312dc,
Europe/Amsterdam,2023-05-15,18:01:13,staking,BTC,0.00000682,,,,,Distributed,cdfeba12-5bd7-48dd-908c-3e023bc19c8a,
Europe/Amsterdam,2023-05-15,18:01:13,staking,ETH,0.00019532,,,,,Distributed,e01b4796-585a-4914-9d25-098ef64be63b,
Europe/Amsterdam,2023-05-08,12:33:51,staking,ADA,0.000144,,,,,Distributed,b576887b-c026-47ed-be27-6bd47b70ec34,
Europe/Amsterdam,2023-05-08,12:33:51,staking,BTC,0.00000682,,,,,Distributed,7072d68a-671f-4557-a904-ff6f500a33ef,
Europe/Amsterdam,2023-05-08,12:33:51,staking,ETH,0.00019528,,,,,Distributed,f3ba05e6-16a3-4c68-a229-6038425f82b9,
Europe/Amsterdam,2023-05-08,12:33:51,staking,TRX,0.194013,,,,,Distributed,2aaad6e0-cc61-4783-8380-d6bc862e4d03,
Europe/Amsterdam,2023-05-01,14:23:35,staking,TRX,0.193974,,,,,Distributed,bd960641-e63b-43bf-ad87-cd1cf25c235d,
Europe/Amsterdam,2023-05-01,14:23:34,staking,ADA,0.000144,,,,,Distributed,25d56072-3c1d-41d0-bc77-c3b9074e7933,
Europe/Amsterdam,2023-05-01,14:23:34,staking,BTC,0.00000682,,,,,Distributed,bcf51c12-66c1-4601-8871-9196eacdf1fe,
Europe/Amsterdam,2023-05-01,14:23:34,staking,ETH,0.00019525,,,,,Distributed,5d8a275f-8c04-459e-9a7e-b7bc0301d689,
Europe/Amsterdam,2023-04-24,21:22:19,staking,ADA,0.000148,,,,,Distributed,1a8933f2-f749-4d05-bc44-29912107b31d,
Europe/Amsterdam,2023-04-24,21:22:19,staking,BTC,0.00000682,,,,,Distributed,85daf973-300b-4252-acbc-eed8f3126bcc,
Europe/Amsterdam,2023-04-24,21:22:19,staking,ETH,0.00019521,,,,,Distributed,877ceb2e-1b55-429b-9666-23f35a5bab5f,
Europe/Amsterdam,2023-04-24,21:22:19,staking,TRX,0.193936,,,,,Distributed,9d5597f4-cd8a-4b6e-aeab-b570e124031f,
Europe/Amsterdam,2023-04-17,20:31:27,staking,BTC,0.00000682,,,,,Distributed,ecb5dbc6-6656-41b2-8ebb-cbb6278bd156,
Europe/Amsterdam,2023-04-17,20:31:27,staking,ETH,0.00019517,,,,,Distributed,198da812-48dc-4199-a3b7-5c2c5d1411ab,
Europe/Amsterdam,2023-04-17,20:31:27,staking,TRX,0.193898,,,,,Distributed,6af3e351-81be-4ee6-8c6c-bfdd075a1f6c,
Europe/Amsterdam,2023-04-17,20:31:26,staking,ADA,0.000174,,,,,Distributed,80ddc002-c1d4-4578-b127-ce9e6b809e71,
Europe/Amsterdam,2023-04-10,17:02:06,staking,ADA,0.000174,,,,,Distributed,07180cba-c170-44f3-9ec3-480796da887e,
Europe/Amsterdam,2023-04-10,17:02:06,staking,BTC,0.00000682,,,,,Distributed,5ece40c7-0aa6-44af-9b5c-eef2fcd6d73e,
Europe/Amsterdam,2023-04-10,17:02:06,staking,ETH,0.00019513,,,,,Distributed,daf53580-9bfa-402d-b1c9-556076372427,
Europe/Amsterdam,2023-04-10,17:02:06,staking,TRX,0.19386,,,,,Distributed,dd0a17fe-2ee7-44c1-8e9a-47deb1b41bac,
Europe/Amsterdam,2023-04-03,14:45:12,staking,ETH,0.0001951,,,,,Distributed,055a9be4-4ed2-459f-8c09-7e6f2cb75865,
Europe/Amsterdam,2023-04-03,14:45:12,staking,TRX,0.193822,,,,,Distributed,659cb0f7-5b78-469b-973e-5517259fae5f,
Europe/Amsterdam,2023-04-03,14:45:11,staking,ADA,0.000173,,,,,Distributed,2c41530c-5d28-465c-b8ce-c997e976d3e1,
Europe/Amsterdam,2023-04-03,14:45:11,staking,BTC,0.00000682,,,,,Distributed,539ebdb4-d078-4ddc-9397-75374fb305ba,
Europe/Amsterdam,2023-03-27,12:20:29,staking,ADA,0.000173,,,,,Distributed,2b443aa1-32d5-4ac4-93ea-e9828ea5b84f,
Europe/Amsterdam,2023-03-27,12:20:29,staking,BTC,0.00000682,,,,,Distributed,2984cc63-a7ac-4b82-bb3d-b1ad91a390f2,
Europe/Amsterdam,2023-03-27,12:20:29,staking,ETH,0.00019506,,,,,Distributed,9b8a9551-29dc-4e75-8233-7371e1905ec2,
Europe/Amsterdam,2023-03-27,12:20:29,staking,TRX,0.193784,,,,,Distributed,363e392d-a861-4082-bc14-a40ae08be1b7,
Europe/Amsterdam,2023-03-20,15:08:35,staking,ADA,0.000173,,,,,Distributed,b7590971-f854-4199-8516-1f77cd624c19,
Europe/Amsterdam,2023-03-20,15:08:35,staking,BTC,0.00000682,,,,,Distributed,14b90293-e858-45b6-871d-c0f2842a6bac,
Europe/Amsterdam,2023-03-20,15:08:35,staking,ETH,0.00019502,,,,,Distributed,300b9763-1319-40c8-94e2-2dd0eeb473b8,
Europe/Amsterdam,2023-03-20,15:08:35,staking,TRX,0.193746,,,,,Distributed,4b60ec3e-3137-4537-8572-5b9ad1193d25,
Europe/Amsterdam,2023-03-13,13:04:09,staking,ADA,0.000173,,,,,Distributed,5fe67273-18f9-4401-bd10-38d15a86d1b2,
Europe/Amsterdam,2023-03-13,13:04:09,staking,BTC,0.00000682,,,,,Distributed,bfe9d51b-a27e-415d-b53f-6610addbe2cf,
Europe/Amsterdam,2023-03-13,13:04:09,staking,ETH,0.00019498,,,,,Distributed,e26e6504-6ed6-422f-9cd6-3db887a38427,
Europe/Amsterdam,2023-03-13,13:04:09,staking,TRX,0.193708,,,,,Distributed,3f0e3dc4-88d3-4fbe-9a0a-82bd4d4c09ee,
Europe/Amsterdam,2023-03-06,11:03:48,staking,ETH,0.00019494,,,,,Distributed,b19730a6-1469-4a87-8547-3c8037cdcb0c,
Europe/Amsterdam,2023-03-06,11:03:48,staking,TRX,0.19367,,,,,Distributed,6a04e574-c1b3-4e16-a5f6-ef698b29ad04,
Europe/Amsterdam,2023-03-06,11:03:47,staking,ADA,0.000173,,,,,Distributed,7efe4bae-66bf-456b-bde8-3b3766b9bbee,
Europe/Amsterdam,2023-03-06,11:03:47,staking,BTC,0.00000681,,,,,Distributed,6fa65f61-030c-43e7-a8c4-469973c2acc6,
Europe/Amsterdam,2023-02-27,15:49:34,staking,ADA,0.000173,,,,,Distributed,cb83a504-b5cd-4785-8306-d2f172d387d2,
Europe/Amsterdam,2023-02-27,15:49:34,staking,BTC,0.00000681,,,,,Distributed,80eb3a8a-33df-4dbf-aaa6-f89408db96d4,
Europe/Amsterdam,2023-02-27,15:49:34,staking,ETH,0.00019491,,,,,Distributed,17b81430-ce92-4a88-a883-d67f573d4c16,
