Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
27-11-2023,11:10,27-11-2023,,,flatex Storting,,EUR,100.00,EUR,105.92,
21-11-2023,16:17,21-11-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 194,08 EUR",,,,EUR,5.92,
21-11-2023,16:17,21-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,194.08,EUR,200.00,
21-11-2023,10:17,20-11-2023,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 22,68 EUR",,,,EUR,5.92,
21-11-2023,10:17,20-11-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,22.68,EUR,28.60,
21-11-2023,04:52,20-11-2023,,,iDEAL Deposit,,EUR,200.00,EUR,5.92,
21-11-2023,04:52,20-11-2023,,,Reservation iDEAL / Sofort Deposit,,EUR,-200.00,EUR,-194.08,
20-11-2023,15:30,20-11-2023,ARBOR REALTY TRUST COM,US0389231087,Valuta Creditering,1.0895,USD,24.80,USD,0.00,3a4a7684-c1af-4595-93e1-57dd03197803
20-11-2023,15:30,20-11-2023,ARBOR REALTY TRUST COM,US0389231087,Valuta Debitering,,EUR,-22.76,EUR,5.92,3a4a7684-c1af-4595-93e1-57dd03197803
20-11-2023,15:30,20-11-2023,ARBOR REALTY TRUST COM,US0389231087,DEGIRO Transactiekosten en/of kosten van derden,,EUR,-2.00,EUR,28.68,3a4a7684-c1af-4595-93e1-57dd03197803
20-11-2023,15:30,20-11-2023,ARBOR REALTY TRUST COM,US0389231087,"Koop 2 @ 12,4 USD",,USD,-24.80,USD,-24.80,3a4a7684-c1af-4595-93e1-57dd03197803
20-11-2023,15:30,20-11-2023,CROWN CASTLE INTERNATI,US22822V1017,Valuta Creditering,1.0895,USD,207.00,USD,0.00,954d3c21-2e44-4260-b81f-0697c24a2002
20-11-2023,15:30,20-11-2023,CROWN CASTLE INTERNATI,US22822V1017,Valuta Debitering,,EUR,-190.00,EUR,30.68,954d3c21-2e44-4260-b81f-0697c24a2002
