"accountId";"comment";"fee";"quantity";"type";"unitPrice";"currency";"dataSource";"date";"symbol"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: IE00B3RBWM25 - Koop 1 @ 99,44 EUR";"1";"1";"BUY";"99.44";"EUR";"YAHOO";"2023-10-23T09:04:00.000Z";"VWRD.L"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.21";"EUR";"MANUAL";"2023-10-17T07:43:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.22";"USD";"MANUAL";"2023-10-17T07:43:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US7561091049 - Dividend:  - dividendTax: -0.04";"0.04";"1";"DIVIDEND";"0.26";"USD";"YAHOO";"2023-10-16T07:25:00.000Z";"O"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"2.06";"EUR";"MANUAL";"2023-10-14T07:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"2.17";"USD";"MANUAL";"2023-10-14T07:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US58463J3041 - Dividend:  - dividendTax: -0.38";"0.38";"1";"DIVIDEND";"2.55";"USD";"YAHOO";"2023-10-13T06:58:00.000Z";"MPW"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.57";"EUR";"MANUAL";"2023-10-12T07:35:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.67";"USD";"MANUAL";"2023-10-12T07:35:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US02209S1033 - Dividend:  - dividendTax: -0.29";"0.29";"1";"DIVIDEND";"1.96";"USD";"YAHOO";"2023-10-11T06:41:00.000Z";"MO"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"0.39";"EUR";"MANUAL";"2023-10-03T07:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"0.41";"USD";"MANUAL";"2023-10-03T07:37:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: US0605051046 - Dividend:  - dividendTax: -0.07";"0.07";"1";"DIVIDEND";"0.48";"USD";"YAHOO";"2023-10-02T06:51:00.000Z";"BAC"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Creditering";"0";"1";"FEE";"1.78";"EUR";"MANUAL";"2023-09-29T07:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"Valuta Debitering";"0";"1";"FEE";"1.89";"USD";"MANUAL";"2023-09-29T07:47:00.000Z";"Fee"
"0986e828-5c89-4497-8d08-445f35563bbf";"ISIN: IE00B3RBWM25 - Dividend";"0";"1";"DIVIDEND";"1.89";"USD";"YAHOO";"2023-09-28T08:02:00.000Z";"VWRD.L"
