"date";"time";"currencyDate";"product";"isin";"description";"fx";"currency";"amount";"col1";"col2";"orderId"
"Datum";"Tijd";"Valutadatum";"Product";"ISIN";"Omschrijving";"FX";"Mutatie";"";"Saldo";"";"Order Id"
"23-10-2023";"09:04";"23-10-2023";"VANGUARD FTSE AW";"IE00B3RBWM25";"DEGIRO Transactiekosten en/of kosten van derden";"";"EUR";"-1.00";"EUR";"251.56";"b58dd189-4e41-4009-9b8d-c4b4d0d6b9a5"
"23-10-2023";"09:04";"23-10-2023";"VANGUARD FTSE AW";"IE00B3RBWM25";"Koop 1 @ 99,44 EUR";"";"EUR";"-99.44";"EUR";"252.56";"b58dd189-4e41-4009-9b8d-c4b4d0d6b9a5"
"17-10-2023";"07:43";"16-10-2023";"";"";"Valuta Creditering";"";"EUR";"0.21";"EUR";"352.00";""
"17-10-2023";"07:43";"16-10-2023";"";"";"Valuta Debitering";"1.0587";"USD";"-0.22";"USD";"0.00";""
"16-10-2023";"07:25";"13-10-2023";"REALTY INCOME CORPORAT";"US7561091049";"Dividend";"";"USD";"0.26";"USD";"0.22";""
"16-10-2023";"07:25";"13-10-2023";"REALTY INCOME CORPORAT";"US7561091049";"Dividendbelasting";"";"USD";"-0.04";"USD";"-0.04";""
"14-10-2023";"07:37";"13-10-2023";"";"";"Valuta Creditering";"";"EUR";"2.06";"EUR";"351.79";""
"14-10-2023";"07:37";"13-10-2023";"";"";"Valuta Debitering";"1.0536";"USD";"-2.17";"USD";"0.00";""
"13-10-2023";"06:58";"12-10-2023";"MEDICAL PROPERTIES TRU";"US58463J3041";"Dividend";"";"USD";"2.55";"USD";"2.17";""
"13-10-2023";"06:58";"12-10-2023";"MEDICAL PROPERTIES TRU";"US58463J3041";"Dividendbelasting";"";"USD";"-0.38";"USD";"-0.38";""
"29-09-2023";"07:47";"28-09-2023";"";"";"Valuta Creditering";"";"EUR";"1.78";"EUR";"347.77";""
"29-09-2023";"07:47";"28-09-2023";"";"";"Valuta Debitering";"1.0592";"USD";"-1.89";"USD";"0.00";""
"28-09-2023";"08:02";"27-09-2023";"VANGUARD FTSE AW";"IE00B3RBWM25";"Dividend";"";"USD";"1.89";"USD";"1.89";""
"17-09-2023";"07:36";"15-09-2023";"";"";"Valuta Creditering";"";"EUR";"0.21";"EUR";"245.99";""
